T,Sig_Np,Rate#,Pct_Np,CumPct,SigT,E:SNR0075,Sig,SigCalc,Range,Zero
4870.94,0.0,1.0,0.0,0.0,0.351,2.57272,533.612,552.443,0.351,0.0
4356.86,9.35986e-10,2.0,1.67098e-10,7.04856e-12,0.429,0.875914,544.375,550.786,608.87,0.0
3897.03,3.75645e-10,3.0,6.70625e-11,2.01072e-11,0.507,1.13358,540.85,549.147,,
3485.74,0.0,4.0,0.0,2.38071e-11,0.585,0.0991689,546.8,547.526,,
3117.85,2.74174e-10,5.0,4.89472e-11,2.64966e-11,0.663,-1.77313,558.9,545.922,,
2788.79,8.01521e-10,6.0,1.43092e-10,3.72063e-11,0.741,-0.282266,546.4,544.334,,
2494.45,8.87853e-10,7.0,1.58505e-10,5.40258e-11,0.819,-0.524296,546.6,542.762,,
2231.19,8.45172e-10,8.0,1.50885e-10,7.12799e-11,0.897,-2.23799,557.588,541.207,,
1995.71,6.89789e-10,9.0,1.23145e-10,8.65621e-11,0.975,-0.720219,544.937,539.666,,
1785.08,5.38744e-10,10.0,9.61798e-11,9.87935e-11,1.053,-0.300231,540.338,538.14,,
1596.68,5.10181e-10,11.0,9.10805e-11,1.09237e-10,1.131,-1.38966,546.8,536.628,,
1428.16,4.78675e-10,12.0,8.54559e-11,1.19082e-10,1.209,-1.03581,542.713,535.131,,
1277.43,4.21933e-10,13.0,7.5326e-11,1.28048e-10,1.287,-0.205353,535.15,533.647,,
1142.61,3.62269e-10,14.0,6.46745e-11,1.35856e-10,1.365,0.157278,531.025,532.176,,
1022.02,1.55216e-10,15.0,2.77101e-11,1.41008e-10,1.443,0.0520335,530.338,530.718,,
914.154,0.0,16.0,0.0,1.39582e-10,1.521,0.91681,522.563,529.273,,
817.673,0.0,17.0,0.0,1.29114e-10,1.56,2.23445,512.2,528.555,,
731.375,0.0,18.0,0.0,1.1129e-10,1.638,1.01824,519.675,527.128,,
654.185,0.0,19.0,0.0,9.10781e-11,1.716,-0.237352,527.45,525.713,,
585.142,0.0,20.0,0.0,7.33431e-11,1.794,-0.302765,526.525,524.309,,
523.385,0.0,21.0,0.0,6.14251e-11,1.872,-2.03002,537.775,522.916,,
468.147,0.0,22.0,0.0,5.57522e-11,1.95,-0.825242,527.575,521.535,,
418.738,0.0,23.0,0.0,5.18376e-11,2.028,-0.893005,526.7,520.164,,
374.544,0.0,24.0,0.0,4.71443e-11,2.106,-0.320638,521.15,518.803,,
335.014,0.0,25.0,0.0,4.14886e-11,2.184,-0.211394,519.0,517.453,,
299.656,0.0,26.0,0.0,3.39522e-11,2.262,-0.531149,520.0,516.112,,
268.03,0.0,27.0,0.0,2.44444e-11,2.34,-0.337245,517.25,514.782,,
239.742,0.0,28.0,0.0,1.32344e-11,2.418,-1.65854,525.6,513.46,,
214.44,0.0,29.0,0.0,8.34136e-13,2.496,0.153483,511.025,512.148,,
191.807,0.0,30.0,0.0,0.0,2.574,0.996736,503.55,510.846,,
171.564,0.0,31.0,0.0,0.0,2.652,1.61578,497.725,509.552,,
153.457,0.0,32.0,0.0,0.0,2.73,1.69636,495.85,508.266,,
137.261,0.0,33.0,0.0,0.0,2.808,-0.301961,509.2,506.99,,
122.774,0.0,34.0,0.0,0.0,2.886,-0.72116,511.0,505.721,,
109.816,2.67847e-10,35.0,4.78177e-11,0.0,2.964,-0.906983,511.1,504.461,,
98.2263,5.46191e-10,36.0,9.75093e-11,0.0,3.042,-0.975582,510.35,503.209,,
87.8594,8.24409e-10,37.0,1.47178e-10,0.0,3.12,0.20015,500.5,501.965,,
78.5866,0.0,38.0,0.0,0.0,3.237,0.137766,499.4,500.113,,
70.2925,42.6273,39.0,7.61008,0.4244,3.393,0.818136,494.212,497.67,,
62.8738,197.186,40.0,35.2028,2.81199,3.588,-1.01153,499.892,494.656,,
56.238,451.089,41.0,80.5312,9.26626,3.783,3.0108,478.963,491.686,,
50.3026,729.695,42.0,130.269,21.0222,3.939,0.565467,486.413,489.339,,
44.9936,879.294,43.0,156.977,37.0414,4.134,-0.110477,486.908,486.441,,
40.2449,840.662,44.0,150.08,54.1654,4.368,0.105946,482.567,483.014,,
35.9974,638.242,45.0,113.943,68.8895,4.602,-0.383064,481.258,479.64,,
32.1982,405.791,46.0,72.4442,79.2839,4.836,-0.701908,478.883,476.315,,
28.8,212.376,47.0,37.9146,85.4384,5.07,-0.567027,475.433,473.037,,
25.7604,87.9502,48.0,15.7014,88.4285,5.343,-1.00186,472.938,469.271,,
23.0416,33.0323,49.0,5.89712,89.633,5.616,-0.797735,468.483,465.564,,
20.6098,29.6688,50.0,5.29665,90.2573,5.889,0.77718,459.069,461.913,,
18.4346,29.3331,51.0,5.23673,90.8447,6.201,0.225483,456.981,457.806,,
16.489,28.7479,52.0,5.13225,91.4229,6.513,0.98485,450.163,453.767,,
14.7487,28.1522,53.0,5.02591,91.9894,6.825,-0.974623,452.981,449.791,,
13.1921,27.5528,54.0,4.91889,92.544,7.176,-0.314395,446.42,445.391,,
11.7998,26.9472,55.0,4.81077,93.0866,7.566,0.891426,437.67,440.588,,
10.5545,26.332,56.0,4.70095,93.6171,7.956,0.969253,432.975,435.871,,
9.44053,25.7032,57.0,4.58868,94.1352,8.346,0.784122,428.67,431.237,,
8.44417,25.0554,58.0,4.47304,94.6405,8.775,0.476864,424.804,426.229,,
7.55296,24.3821,59.0,4.35284,95.1327,9.243,-1.36362,424.642,420.869,,
6.75582,23.6749,60.0,4.22658,95.6112,9.711,-0.870383,418.213,415.612,,
6.0428,22.9232,61.0,4.09239,96.0751,10.218,1.22418,406.639,410.026,,
5.40504,22.1134,62.0,3.94782,96.5235,10.725,0.888577,402.25,404.549,,
4.83458,21.2281,63.0,3.78976,96.955,11.271,0.333092,397.906,398.768,,
4.32434,20.2448,64.0,3.61422,97.3679,11.856,0.489343,391.436,392.702,,
3.86794,19.1366,65.0,3.41638,97.76,12.441,-0.586939,388.281,386.762,,
3.45972,17.8744,66.0,3.19105,98.1285,13.065,1.71909,376.366,380.56,,
3.09457,16.4333,67.0,2.93378,98.4701,13.728,-0.601218,375.506,374.114,,
2.76797,14.8,68.0,2.64219,98.781,14.469,-0.367215,367.928,367.078,,
2.47583,12.9806,69.0,2.31737,99.0576,15.21,-1.144,362.858,360.21,,
2.21453,11.014,70.0,1.96629,99.2965,15.951,-0.509678,354.63,353.505,,
1.98081,8.97975,71.0,1.60312,99.4955,16.77,1.49484,343.116,346.274,,
1.77175,6.98398,72.0,1.24682,99.6545,17.628,0.403615,338.041,338.894,,
1.58476,5.15074,73.0,0.919542,99.7753,18.525,0.460339,330.408,331.381,,
1.4175,3.58639,74.0,0.640265,99.8623,19.5,0.242956,322.965,323.441,,
1.2679,2.33602,75.0,0.417041,99.9213,20.514,-1.00175,317.381,315.421,,
1.13408,1.39933,76.0,0.249816,99.9584,21.567,-0.136132,307.596,307.339,,
1.01439,0.755665,77.0,0.134906,99.9799,22.659,-0.706607,300.546,299.211,,
0.90733,0.361375,78.0,0.0645148,99.991,23.79,-0.251107,291.498,291.053,,
0.81157,0.154718,79.0,0.0276212,99.9962,24.999,1.73494,279.531,282.611,,
0.725916,0.0638999,80.0,0.0114078,99.9983,26.286,-0.764154,275.247,273.929,,
0.649302,0.0314886,81.0,0.00562153,99.9993,27.651,0.332907,264.487,265.047,,
0.580774,0.015196,82.0,0.00271289,99.9997,29.055,-2.07709,259.644,256.245,,
0.519478,0.00512869,83.0,0.000915605,99.9999,30.537,0.503923,246.5,247.305,,
0.464652,2.10734e-45,84.0,3.76214e-46,100.0,32.136,-0.530562,238.871,238.043,,
0.415612,1.68911e-96,85.0,3.0155e-97,100.0,33.774,0.217316,228.618,228.95,,
0.371748,7.885540000000001e-97,86.0,1.40777e-97,100.0,35.49,-1.56503,222.166,219.828,,
0.332513,5.10593e-98,87.0,9.11542e-99,100.0,37.323,-0.0837641,210.64,210.519,,
0.29742,0.0,88.0,0.0,100.0,39.234,0.899718,200.0,201.267,,
0.26603,0.0,89.0,0.0,100.0,41.223,-0.973134,193.448,192.102,,
0.237953,0.0,90.0,0.0,100.0,43.329,-0.581388,183.662,182.885,,
0.212839,0.0,91.0,0.0,100.0,45.552,-0.789978,174.706,173.668,,
0.190376,0.0,92.0,0.0,100.0,47.853,0.481081,164.035,164.648,,
0.170283,0.0,93.0,0.0,100.0,50.31,1.26625,153.999,155.566,,
0.152311,0.0,94.0,0.0,100.0,52.884,1.4345,144.87,146.62,,
0.136236,0.0,95.0,0.0,100.0,55.575,1.01499,136.644,137.85,,
0.121858,0.0,96.0,0.0,100.0,58.422,-0.0108197,129.185,129.173,,
0.108997,0.0,97.0,0.0,100.0,61.425,-0.117933,120.776,120.643,,
0.0974931,0.0,98.0,0.0,100.0,64.584,-0.572929,112.934,112.309,,
0.0872036,0.0,99.0,0.0,100.0,67.86,1.08254,103.136,104.304,,
0.078,0.0,100.0,0.0,100.0,71.331,0.115834,96.3538,96.4749,,
,,,,,74.997,-1.31308,90.2057,88.8729,,
,,,,,78.819,-1.13835,82.7475,81.6136,,
,,,,,82.836,0.408314,74.2547,74.6506,,
,,,,,87.087,-0.231963,68.1768,67.9557,,
,,,,,91.533,1.39325,60.3375,61.6223,,
,,,,,96.213,-0.403931,55.9823,55.6183,,
,,,,,101.127,-2.04064,51.7531,49.9679,,
,,,,,106.275,0.151027,44.5577,44.6871,,
,,,,,111.735,0.262559,39.4976,39.718,,
,,,,,117.468,-0.181,35.2633,35.1161,,
,,,,,123.474,2.25366,29.0975,30.8867,,
,,,,,129.792,0.424537,26.6762,27.0056,,
,,,,,136.422,-0.405959,23.7807,23.4743,,
,,,,,143.364,1.5865,19.1143,20.2873,,
,,,,,150.696,-1.02498,18.1446,17.4054,,
,,,,,158.418,-0.331062,15.0579,14.8258,,
,,,,,166.491,0.324918,12.3269,12.5496,,
,,,,,174.993,-1.2239,11.3551,10.5407,,
,,,,,183.963,0.415758,8.50805,8.77915,,
,,,,,193.362,-1.0352,7.91443,7.25741,,
,,,,,203.229,0.459108,5.66577,5.9508,,
,,,,,213.642,-2.04331,6.06661,4.83306,,
,,,,,224.601,0.889414,3.36406,3.88866,,
,,,,,236.067,1.11209,2.463,3.10253,,
,,,,,248.118,-0.0298749,2.46792,2.4512,,
,,,,,260.832,0.674389,1.54626,1.9152,,
,,,,,274.17,1.44458,0.710143,1.4813,,
,,,,,288.171,-1.12168,1.71698,1.13351,,
,,,,,302.913,-0.506343,1.11405,0.85707,,
,,,,,318.396,-0.0345802,0.657635,0.640493,,
,,,,,334.659,1.31881,-0.163668,0.472832,,
,,,,,351.78,-0.96474,0.798333,0.344409,,
,,,,,369.759,1.41027,-0.401377,0.247591,,
,,,,,388.674,-1.59864,0.891566,0.175462,,
,,,,,408.564,-0.325057,0.264464,0.122529,,
,,,,,429.468,1.48197,-0.547273,0.084281,,
,,,,,451.425,1.10179,-0.400955,0.0570793,,
,,,,,474.474,-0.56776,0.268564,0.0380468,,
,,,,,498.732,-2.0272,0.826097,0.024917,,
,,,,,524.238,1.168,-0.434552,0.0160274,,
,,,,,551.07,-0.534476,0.211331,0.0101154,,
,,,,,579.267,0.474526,-0.167838,0.00626209,,
,,,,,608.868,0.903699,-0.31973,0.00380127,,
